rainfall,humidity,temperature,flood_risk
74.90802376947249,77.08920959462286,29.44770862233466,Medium
190.14286128198324,85.76769780339606,15.171590863154986,High
146.398788362281,47.53275291547493,36.17183690064445,Medium
119.73169683940732,73.74118697248991,28.393487172077243,Medium
31.203728088487303,70.0222188200624,14.716116506708627,Low
31.19890406724053,88.29812637517898,38.87014172443621,Low
11.616722433639893,93.42609423368825,25.55096390005962,Low
173.23522915498702,30.850974003417075,12.18695355614965,Medium
120.22300234864176,77.18139433411548,28.804987132452016,High
141.6145155592091,33.62850593838103,17.59596721038431,Medium
4.116898859160489,68.42010655541492,34.11080355631907,Low
193.98197043239887,50.13429103305747,34.534662206985715,Medium
166.48852816008434,51.474361966549885,39.368420675639854,Medium
42.46782213565523,54.70709524166496,25.05608593073511,Low
36.364993441420125,73.4904714334727,23.648706391832114,Low
36.68090197068676,53.38349759681385,32.60426816339442,Low
60.84844859190754,81.28893354131964,13.974119690257798,Low
104.95128632644757,58.31691699017088,26.407465413793727,Medium
86.38900372842315,34.7847240216971,26.38742800392553,Medium
58.245828039608384,84.8631889738875,12.684193684311616,Low
122.3705789444759,50.00308272148942,22.539522565207406,Medium
27.898772130408368,60.29368157194838,35.59854395701606,Low
58.42892970704363,77.9810718255331,35.68460865983981,Low
73.27236865873834,53.271931000409836,12.97712994759043,Medium
91.21399684340719,33.960995930270094,12.721626482434925,Medium
157.03519227860272,56.174473290896955,17.880864310058058,Medium
39.93475643167195,96.11140078860124,36.24298187661981,Low
102.84688768272233,74.92140781089907,13.867077552204968,Medium
118.4829137724085,77.00354040670449,31.59990407882339,Medium
9.290082543999546,74.25975075463478,13.034968588393097,Low
121.50897038028768,43.92944972716057,28.69413561243476,Medium
34.10482473745831,59.28337048715961,20.682018973574344,Low
13.010318597055903,82.56578588543228,33.66741888897601,Low
189.77710745066665,37.09610282872114,17.010713464760908,Medium
193.12640661491187,49.449694326279854,29.176054881698796,Medium
161.67946962329222,49.34233759260975,17.07047603727655,Medium
60.92275383467414,60.241324931615424,31.409808493364615,Low
19.534422801276776,98.62581186595295,36.21034103682246,Low
136.84660530243139,34.725178267867534,13.804053973802802,Medium
88.03049874792026,66.30906960664166,35.99787065786511,Medium
24.407646968955767,42.55552774085473,27.80725763242894,Low
99.03538202225404,97.9473581786821,13.81331472601072,Medium
6.877704223043679,37.93124533092249,22.82625566079136,Low
181.8640804157564,58.25207016531139,14.825808804552937,Medium
51.75599632000338,81.65194893842244,31.010436665997084,Low
132.5044568707964,79.31880996192118,32.76604403253849,High
62.34221521788219,59.59100458257526,13.173895608183969,Low
104.01360423556216,54.25669175669027,25.18419558083933,Medium
109.34205586865593,57.83286649870094,34.438751680777514,Medium
36.97089110510541,48.49933842110475,38.08489124652989,Low
193.91692555291172,44.373305709475986,25.4055360022531,Medium
155.02656467222292,63.8127788291223,38.50837670834221,Medium
187.8997883128378,48.79736292473251,26.070669113680893,Medium
178.96547008552977,50.12231654280751,21.82571483799724,Medium
119.57999576221702,75.972924443219,35.44609385658686,Medium
184.37484700462338,97.79761321899245,24.78948131374267,High
17.6985004103839,72.25460403915625,24.15707531693569,Low
39.19657248382904,35.38856269454764,24.70937468229485,Low
9.045457782107613,35.29085296978469,35.40355005609236,Low
65.06606615265287,96.59962545918961,34.958246250641565,Low
77.7354579378964,50.810355321513356,22.105599773206336,Medium
54.269806354779185,36.44468902577328,19.99899579611575,Low
165.74750183038586,71.9331211005267,24.757840721173878,Medium
71.35066533871786,73.65541448031863,27.18317529211327,Medium
56.18690193747615,75.39533740830817,17.15011631883991,Low
108.5392166316497,48.71814195002789,33.81865254146771,Medium
28.184844994952527,31.057747895013254,24.59448297197269,Low
160.43939615080794,97.55107586181303,20.021366452598787,High
14.910128735954164,47.562513198377175,13.204629788919718,Low
